"","Individual","Age","Age.Class","Zoo","Sex","Session","Phase","OverallTrial","Trial.by.door","Motivation","Motperdoor","Persistence","Diversity","ActionDiv","BodyDiv","Solved","Door.type","LatToSolve","IntLatToSolve","TotalSessTime","Innovation","Neophilia","Notes"
"61","Romani",43,"Adult","RGZ","F",1,1,2,2,6.752,11.264,0.887929319,4,3,1,1,"push","100.508",89.244,278.75,3,6.752,""
"62","Romani",43,"Adult","RGZ","F",1,1,3,3,6.752,4.507,0.931700738,0,0,0,1,"push","65.989",61.482,278.75,3,6.752,""
"63","Romani",43,"Adult","RGZ","F",2,1,4,1,5.501,5.501,0.848314452,2,1,2,1,"push","36.279",30.776,216.042,3,6.752,""
"64","Romani",43,"Adult","RGZ","F",2,1,5,2,5.501,0,1,3,2,2,1,"push","55.266",55.266,216.042,3,6.752,""
"65","Romani",43,"Adult","RGZ","F",2,1,6,3,5.501,0,1,6,3,3,1,"push","124.497",124.497,216.042,3,6.752,""
"66","Romani",43,"Adult","RGZ","F",1,2,7,1,5.002,5.002,0.816006513,2,2,1,1,"pull","28.251",23.053,1046.331,3,6.752,""
"67","Romani",43,"Adult","RGZ","F",1,2,8,2,5.002,0,0.941510163,7,3,3,1,"push","187.546",187.546,1046.331,3,6.752,""
"68","Romani",43,"Adult","RGZ","F",1,2,9,3,5.002,22.449,0.990274856,12,8,4,0,"slide",NA,NA,1046.331,3,6.752,""
"69","Romani",43,"Adult","RGZ","F",2,2,10,1,8.233,8.233,0.682572614,2,2,1,1,"pull","27.474",18.753,384.47,3,6.752,""
"70","Romani",43,"Adult","RGZ","F",2,2,11,2,8.233,23.001,0.717004811,2,1,1,1,"push","81.277",58.276,384.47,3,6.752,""
"71","Romani",43,"Adult","RGZ","F",2,2,12,3,8.233,24.01,0.912918587,9,6,4,1,"slide","275.719",251.709,384.47,3,6.752,""
"72","Siri",52,"Adult","RGZ","F",1,1,1,1,8.237,8.237,0.056897539,1,1,1,1,"push","8.735",0.497,1858.592,1,8.237,""
"73","Siri",52,"Adult","RGZ","F",1,1,2,2,8.237,88.392,0.519462445,1,1,1,1,"push","183.944",95.552,1858.592,1,8.237,""
"74","Siri",52,"Adult","RGZ","F",1,1,3,3,8.237,1085.204,0.348667067,4,4,1,0,"push",NA,NA,1858.592,1,8.237,""
"75","Siri",52,"Adult","RGZ","F",2,1,4,1,6.239,6.239,0.768786127,2,2,2,1,"push","26.988",20.748,1800.849,1,8.237,""
"76","Siri",52,"Adult","RGZ","F",2,1,5,2,6.239,0,1,0,0,0,1,"push","51.373",51.373,1800.849,1,8.237,""
"77","Siri",52,"Adult","RGZ","F",2,1,6,3,6.239,1143.649,0.336257205,3,3,1,0,"push",NA,NA,1800.849,1,8.237,""
"78","Siri",52,"Adult","RGZ","F",1,2,7,1,5.048,5.048,0.914191572,2,2,2,1,"push","64.947",59.374,1042.77,1,8.237,""
"79","Siri",52,"Adult","RGZ","F",1,2,8,2,5.048,625.12,0.223739879,3,2,1,0,"slide",NA,NA,1042.77,1,8.237,""
"80","Siri",52,"Adult","RGZ","F",1,2,9,3,5.048,625.12,0.223739879,3,2,1,0,"pull",NA,NA,1042.77,1,8.237,""
"81","Siri",52,"Adult","RGZ","F",2,2,10,1,5.747,936.293,0.102369314,1,1,1,0,"pull",NA,NA,1043.34,1,8.237,""
"82","Siri",52,"Adult","RGZ","F",2,2,11,2,5.747,936.293,0.102369314,1,1,1,0,"slide",NA,NA,1043.34,1,8.237,""
"83","Targa",37,"Adult","RGZ","F",1,1,1,1,3.704,21.806,0.613063134,5,2,4,1,"push","57.291",35.123,80.542,1,3.704,""
"84","Targa",37,"Adult","RGZ","F",1,1,2,2,3.704,0,1,3,1,3,1,"push","22.602",22.602,80.542,1,3.704,""
"85","Targa",37,"Adult","RGZ","F",1,1,3,3,3.704,0,1,1,1,1,1,"push","0.649",0.649,80.542,1,3.704,""
"86","Targa",37,"Adult","RGZ","F",2,1,4,1,3.76,3.76,0.824181139,4,2,3,1,"push","22.745",18.746,238.494,1,3.704,""
"87","Targa",37,"Adult","RGZ","F",2,1,5,2,3.76,0,1,0,0,0,1,"push","0.998",0.998,238.494,1,3.704,""
"88","Targa",37,"Adult","RGZ","F",2,1,6,3,3.76,46.497,0.637906226,9,5,5,1,"push","214.751",136.991,238.494,1,3.704,""
"89","Targa",37,"Adult","RGZ","F",1,2,7,1,2.852,42.174,0.790190615,7,5,4,1,"push","203.499",160.803,1043.146,1,3.704,""
"90","Targa",37,"Adult","RGZ","F",1,2,8,2,2.852,605.75,0.278577783,8,5,5,0,"pull",NA,NA,1043.146,1,3.704,""
"91","Targa",37,"Adult","RGZ","F",1,2,9,3,2.852,605.75,0.278577783,8,5,5,0,"slide",NA,NA,1043.146,1,3.704,""
"92","Targa",37,"Adult","RGZ","F",2,2,10,2,2.489,2.489,0.095473931,5,1,1,0,"slide",NA,NA,1041.08,1,3.704,"removed solved push door since wouldn't have been there"
"93","Targa",37,"Adult","RGZ","F",2,2,11,3,2.489,938.437,0.095473931,5,3,4,0,"pull",NA,NA,1041.08,1,3.704,""
"94","Achara",4,"Juvenile","OKC","F",1,1,1,1,90.419,166.253,0.528235119,6,5,2,0,"push",NA,NA,335.87,3,90.419,"access with Asha, didn't capture approach but assume access the whole time Asha was there"
"95","Achara",4,"Juvenile","OKC","F",1,1,2,2,90.419,166.253,0.528235119,6,5,2,0,"push",NA,NA,335.87,3,90.419,""
"96","Achara",4,"Juvenile","OKC","F",1,1,3,3,90.419,166.253,0.528235119,6,5,2,0,"push",NA,NA,335.87,3,90.419,""
"97","Achara",4,"Juvenile","OKC","F",2,1,4,1,3.251,3.5,0.86,1,1,1,1,"push","25",21.5,865.599,3,90.419,""
"98","Achara",4,"Juvenile","OKC","F",2,1,5,2,3.251,24.998,0.642952023,2,2,2,1,"push","70.013",45.015,865.599,3,90.419,""
"99","Achara",4,"Juvenile","OKC","F",2,1,6,3,3.251,467.504,0.379787357,10,6,5,0,"push",NA,NA,865.599,3,90.419,""
"100","Achara",4,"Juvenile","OKC","F",1,2,7,1,1.499,13.249,0.725405674,2,2,1,1,"push","48.253",35.003,765.608,3,90.419,""
"101","Achara",4,"Juvenile","OKC","F",1,2,8,2,1.499,151.006,0.564619692,10,7,4,1,"pull","346.837",195.831,765.608,3,90.419,""
